cust_id|name|age|address|active|job
FDFJ1245|Daniel Hickman|46|"22837 Ruiz Circle Suite 778
Dawsonview, ME 95272"|False|Patent attorney
GFHS5632|Abigail Sims|55|"Unit 9663 Box 9066
DPO AA 29315"|True|Therapist, music
LHJH6732|Bradley Henderson|35|"44072 Sharp Station Suite 337
South Madisonside, ME 11565"|True|Heritage manager
ISGK9792|Alexander Wilson|54|"79115 Jose Way
Andersonstad, KS 48189"|False|Higher education careers adviser
DARA2514|Erik Long|25|"901 Reed Parkway
Margaretstad, DC 21210"|True|Financial controller
JGJA4469|Megan Ray|24|"6662 Robert Dam
Theresafort, NY 04878"|False|Engineer, maintenance (IT)
PSHL8935|Terry Willis|52|"USNS Mcintosh
FPO AA 43435"|False|Teaching laboratory technician
LHKQ8427|David Ford|39|"146 Kimberly Ridges Suite 210
Chungshire, UT 03817"|True|Applications developer
PGLA6342|Jason Schultz|45|"3208 Johnson Glens Apt. 825
Port Johnnyfort, MT 95809"|False|Seismic interpreter
JGHW6291|Richard Smith|32|"3742 Lewis Village Apt. 973
Munozmouth, KY 49597"|False|Minerals surveyor
